time,gx,fgx
1,0.000262,0.00000
2,0.000262,0.00000
3,-0.000270,0.00000
4,-0.000270,-0.0000
5,0.000395,-0.0000
6,0.000395,-0.0000
7,-0.000004,-0.0000
8,0.000529,-0.0000
9,0.000529,0.00001
10,-0.000670,0.00001
11,-0.000670,0.00000
12,-0.000537,-0.0000
13,-0.000537,-0.0000
14,-0.000004,0.00002
15,-0.000004,0.00008
16,-0.000803,0.00016
17,-0.000803,0.00024
18,-0.000403,0.00029
19,-0.000403,0.00028
20,-0.000936,0.00019
21,-0.000403,0.00004
22,-0.000403,-0.0001
23,-0.000803,-0.0002
24,-0.000803,-0.0003
25,-0.000803,-0.0004
26,-0.000803,-0.0004
27,0.000662,-0.0003
28,0.000662,-0.0003
29,0.000662,-0.0003
30,0.000662,-0.0003
31,0.000529,-0.0004
32,0.000529,-0.0005
33,0.000262,-0.0006
34,0.000395,-0.0007
35,0.000395,-0.0007
36,-0.000270,-0.0007
37,-0.000270,-0.0005
38,0.000262,-0.0002
39,0.000262,0.00012
40,-0.000537,0.00044
41,-0.000537,0.00068
42,-0.000403,0.00079
43,-0.000403,0.00076
44,0.000129,0.00064
45,0.000129,0.00047
46,-0.000004,0.00030
47,0.000129,0.00015
48,0.000129,0.00003
49,-0.000803,-0.0000
50,-0.000803,-0.0001
51,-0.000670,-0.0002
52,-0.000670,-0.0003
53,-0.000537,-0.0003
54,-0.000537,-0.0002
55,-0.000403,-0.0001
56,-0.000403,0.00000
57,-0.000270,0.00011
58,-0.000270,0.00013
59,-0.000137,0.00005
60,-0.000270,-0.0001
61,-0.000270,-0.0003
62,-0.000137,-0.0005
63,-0.000137,-0.0006
64,-0.000270,-0.0006
65,-0.000270,-0.0006
66,0.000129,-0.0005
67,0.000129,-0.0003
68,-0.000004,-0.0002
69,-0.000004,-0.0001
70,-0.000803,-0.0001
71,-0.000803,-0.0001
72,-0.000270,-0.0001
73,-0.000537,-0.0001
74,-0.000537,-0.0001
75,-0.000670,-0.0000
76,-0.000670,-0.0000
77,-0.000936,0.00003
78,-0.000936,0.00006
79,-0.000403,0.00004
80,-0.000403,-0.0000
81,0.000529,-0.0001
82,0.000529,-0.0002
83,0.000795,-0.0003
84,0.000795,-0.0004
85,0.000129,-0.0005
86,0.000262,-0.0007
87,0.000262,-0.0008
88,0.000795,-0.0008
89,0.000795,-0.0008
90,0.000129,-0.0006
91,0.000129,-0.0004
92,-0.000403,-0.0001
93,-0.000403,0.00019
94,0.000129,0.00045
95,0.000129,0.00062
96,0.000262,0.00069
97,0.000262,0.00068
98,0.000795,0.00063
99,0.000662,0.00053
100,0.000662,0.00041
101,0.000662,0.00026
102,0.000662,0.00009
103,-0.000403,-0.0000
104,-0.000403,-0.0002
105,0.000395,-0.0002
106,0.000395,-0.0002
107,0.000262,-0.0000
108,0.000262,0.00020
109,-0.000403,0.00044
110,-0.000403,0.00061
111,0.000262,0.00068
112,0.000795,0.00063
113,0.000795,0.00050
114,-0.000137,0.00033
115,-0.000137,0.00016
116,0.000129,0.00003
117,0.000129,-0.0000
118,-0.000670,-0.0000
119,-0.000670,-0.0000
120,-0.000537,-0.0000
121,-0.000537,0.00004
122,-0.000537,0.00015
123,-0.000537,0.00026
124,-0.000137,0.00035
125,-0.000670,0.00038
126,-0.000670,0.00034
127,-0.000270,0.00021
128,-0.000270,0.00002
129,0.000795,-0.0001
130,0.000795,-0.0003
131,0.000795,-0.0004
132,0.000795,-0.0005
133,-0.000137,-0.0006
134,-0.000137,-0.0006
135,-0.000270,-0.0006
136,-0.000270,-0.0006
137,0.000262,-0.0005
138,-0.000403,-0.0003
139,-0.000403,-0.0000
140,-0.000004,0.00022
141,-0.000004,0.00049
142,-0.000270,0.00067
143,-0.000270,0.00070
144,-0.000537,0.00058
145,-0.000537,0.00035
146,-0.000537,0.00009
147,-0.000537,-0.0001
148,0.000129,-0.0002
149,0.000129,-0.0002
150,-0.000004,-0.0002
151,-0.001069,-0.0001
152,-0.001069,-0.0001
153,-0.000403,-0.0001
154,-0.000403,-0.0002
155,-0.000537,-0.0003
156,-0.000537,-0.0003
157,0.000662,-0.0003
158,0.000662,-0.0002
159,0.000928,-0.0001
160,0.000928,-0.0001
161,-0.000137,-0.0002
162,-0.000270,-0.0003
163,-0.000270,-0.0005
164,-0.000270,-0.0007
165,-0.000270,-0.0007
166,-0.000270,-0.0006
167,-0.000270,-0.0003
168,-0.001202,0.00004
169,-0.001202,0.00040
170,0.000395,0.00066
171,0.000395,0.00076
172,-0.000270,0.00068
173,-0.000270,0.00047
174,-0.000936,0.00017
175,-0.000137,-0.0001
176,-0.000137,-0.0003
177,-0.000403,-0.0005
178,-0.000403,-0.0006
179,-0.000803,-0.0006
180,-0.000803,-0.0005
181,-0.000403,-0.0003
182,-0.000403,-0.0002
183,-0.000270,-0.0001
184,-0.000270,-0.0000
185,-0.001202,-0.0000
186,-0.001202,-0.0001
187,-0.001202,-0.0002
188,-0.001202,-0.0003
189,-0.001202,-0.0004
190,0.000262,-0.0004
191,0.000262,-0.0003
192,-0.001069,-0.0003
193,-0.001069,-0.0003
194,-0.000137,-0.0003
195,-0.000137,-0.0004
196,-0.000270,-0.0006
197,-0.000270,-0.0007
198,-0.000403,-0.0009
199,-0.000403,-0.0009
200,-0.000803,-0.0008
201,-0.000537,-0.0007
202,-0.000537,-0.0005
203,-0.000403,-0.0003
204,-0.000403,-0.0002
205,-0.000803,-0.0001
206,-0.000803,-0.0001
207,0.000395,-0.0001
208,0.000395,-0.0001
209,-0.000137,-0.0002
210,-0.000137,-0.0002
211,0.000129,-0.0003
212,0.000129,-0.0004
213,0.000529,-0.0005
214,0.000262,-0.0005
215,0.000262,-0.0005
216,-0.000403,-0.0005
217,-0.000403,-0.0004
218,-0.000270,-0.0002
219,-0.000270,-0.0001
220,0.000262,0.00001
221,0.000262,0.00015
222,0.000129,0.00026
223,0.000129,0.00032
224,0.000795,0.00032
225,0.000795,0.00026
226,-0.000004,0.00013
227,-0.000137,-0.0000
228,-0.000137,-0.0001
229,0.000662,-0.0002
230,0.000662,-0.0002
231,-0.000403,-0.0002
232,-0.000403,-0.0000
233,0.000395,0.00011
234,0.000395,0.00029
235,-0.000670,0.00040
236,-0.000670,0.00043
237,-0.000403,0.00040
238,-0.000403,0.00032
239,-0.000670,0.00025
240,-0.000537,0.00019
241,-0.000537,0.00016
242,-0.000670,0.00015
243,-0.000670,0.00013
244,-0.000270,0.00009
245,-0.000270,0.00001
246,0.000262,-0.0000
247,0.000262,-0.0002
248,0.000529,-0.0003
249,0.000529,-0.0004
250,0.000928,-0.0005
251,0.000928,-0.0006
252,0.000928,-0.0006
253,-0.000137,-0.0006
254,-0.000137,-0.0006
255,-0.000137,-0.0005
256,-0.000137,-0.0004
257,0.000129,-0.0001
258,0.000129,0.00012
259,-0.000936,0.00040
260,-0.000936,0.00065
261,-0.001069,0.00081
262,-0.001069,0.00084
263,0.000395,0.00077
264,0.000395,0.00063
265,0.000928,0.00044
266,0.000529,0.00023
267,0.000529,0.00002
268,0.000129,-0.0002
269,0.000129,-0.0004
270,0.000529,-0.0006
271,0.000529,-0.0008
272,-0.000537,-0.0008
273,-0.000537,-0.0007
274,-0.000936,-0.0005
275,-0.000936,-0.0001
276,-0.001202,0.00021
277,-0.001202,0.00054
278,-0.000270,0.00076
279,0.000395,0.00084
280,0.000395,0.00079
281,0.001061,0.00062
282,0.001061,0.00035
283,0.000262,0.00000
284,0.000262,-0.0003
285,0.000129,-0.0007
286,0.000129,-0.0010
287,0.000129,-0.0011
288,0.000129,-0.0011
289,0.000662,-0.0008
290,0.000662,-0.0003
291,0.000795,0.00013
292,0.000129,0.00054
293,0.000129,0.00078
294,-0.000004,0.00080
295,-0.000004,0.00065
296,0.000395,0.00043
297,0.000395,0.00023
298,0.000262,0.00012
299,0.000262,0.00012
300,-0.000403,0.00020
301,-0.000403,0.00031
302,-0.000004,0.00038
303,-0.000004,0.00039
304,-0.000403,0.00034
305,-0.000403,0.00027
306,-0.000403,0.00020
307,-0.000670,0.00016
308,-0.000670,0.00016
309,-0.000670,0.00015
310,-0.000670,0.00013
311,-0.000004,0.00010
312,-0.000004,0.00003
313,-0.000537,-0.0000
314,-0.000537,-0.0001
315,-0.001069,-0.0002
